fa,mem,rho,p,n,q
Sperm C18:1 trans n-6 to n-11,P_stay_prog,-0.022603393458488077,0.8463240614454439,77,0.9693936512707992
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",dwell_mean_Prog,0.02644477586932572,0.8206111109688697,77,0.9693936512707992
Sperm C24:0,asym_Non-_Immo,-0.026459230750554737,0.8205146925978118,77,0.9693936512707992
Sperm C15:0 (pentadecanoic acid),P_stay_immotile,0.022811371655632684,0.8449275553492457,77,0.9693936512707992
Sperm C22:0,asym_Prog_Non-,-0.027925411108041136,0.8107488741816766,77,0.9693936512707992
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",dwell_mean_Non-,-0.020537790748568378,0.8602189108991666,77,0.9730345057711884
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",asym_Prog_Non-,0.018944718278937064,0.8709644153972724,77,0.9796115319770559
Sperm C18:1 n-7 to n-11,asym_Non-_Immo,0.018098585307686318,0.8766813347765682,77,0.9796115319770559
Sperm C14:0 (myristic acid),asym_Non-_Immo,-0.01814753857891641,0.8763504060149832,77,0.9796115319770559
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",P_stay_nonprog,-0.01740540005212407,0.8813695733069293,77,0.9808790412609375
Sperm C17:0,P_stay_immotile,-0.01656257102301701,0.8870753765526763,77,0.9832642728053761
Sperm C18:1 n-7 to n-11,dwell_mean_Immo,0.014968377876994891,0.902841997435404,70,0.9833280520754138
Sperm C15:0 (pentadecanoic acid),P_stay_nonprog,0.01425745276793841,0.9027090843267918,77,0.9833280520754138
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",asym_Non-_Immo,-0.015735822793916856,0.8926778934065736,77,0.9833280520754138
Sperm C18:1 n-7 to n-11,dwell_mean_Prog,-0.011725619087463285,0.9199228799609471,77,0.9833280520754138
Sperm C15:0 (pentadecanoic acid),dwell_mean_Non-,0.012181104659841643,0.9168231130625316,77,0.9833280520754138
Sperm C18:1 n-9 (oleic acid),asym_Non-_Immo,0.010785642259643187,0.9263235273174188,77,0.9833280520754138
Sperm C20:0,asym_Prog_Immo,-0.012132060945567813,0.9171568170638089,77,0.9833280520754138
"Sperm C18:2 n-6 (Linoleic acid, LA)",asym_Non-_Immo,-0.011043445876957372,0.9245675655432718,77,0.9833280520754138
Sperm C24:0,dwell_cv_Immo,0.013047770325204978,0.915259133725325,70,0.9833280520754138
Sperm C17:0,P_stay_prog,-0.012354564162238882,0.9156429727887605,77,0.9833280520754138
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",P_stay_nonprog,-0.01175543566174811,0.9197199289230606,77,0.9833280520754138
Sperm C20:4 n-6 and C22:1 n-9 combined,dwell_cv_Non-,0.009866074970255581,0.9325897247310728,77,0.9861868353478012
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",dwell_cv_Immo,0.008390937532677459,0.9454447758591549,70,0.9941030810596947
Sperm C20:0,dwell_cv_Prog,-0.006296760823976668,0.9569474027891983,77,0.9941030810596947
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",dwell_mean_Immo,-0.006549516629173794,0.9574044250261288,70,0.9941030810596947
"Sperm C18:2 n-6 (Linoleic acid, LA)",asym_Prog_Non-,-0.006231341195461896,0.9573942749863981,77,0.9941030810596947
Sperm C20:0,dwell_cv_Non-,0.006130248075826601,0.9580848534850681,77,0.9941030810596947
Sperm C24:1 n-9,asym_Non-_Immo,0.0021989134224525294,0.9849591740113668,77,0.9950171158005439
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",dwell_cv_Prog,-0.002046334903711275,0.9860027202008442,77,0.9950171158005439
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",dwell_mean_Prog,0.0031847486605636284,0.978217332497309,77,0.9950171158005439
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",dwell_cv_Prog,-0.0028996183563683824,0.9801671202110476,77,0.9950171158005439
Sperm C22:0,dwell_mean_Prog,0.0045140032011309885,0.9691294451024957,77,0.9950171158005439
Sperm C20:4 n-6 and C22:1 n-9 combined,dwell_cv_Immo,-0.0018740256497998867,0.9878068468454675,70,0.9950171158005439
Sperm C22:0,dwell_cv_Non-,0.0025612703798485767,0.9824809724826864,77,0.9950171158005439
Sperm C20:3 n-6,asym_Prog_Non-,-0.00433937365295783,0.9703231585150792,77,0.9950171158005439
Sperm C20:2 n-6,asym_Non-_Immo,0.000580032281617078,0.9960322969036802,77,0.996788654705974
Sperm C17:0,P_stay_nonprog,0.0004694608691492224,0.9967886547059739,77,0.996788654705974
